event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,14:16:20,10.1109/infvis.2005.1532128,,,,,
Pub added,14:16:20,10.1109/visual.1991.175815,,,,,
Pub added,14:16:20,10.1145/102377.115768,,,,,
Update,14:16:20,,,,,,,3
Pub suggested,14:16:27,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,
Pub suggested,14:16:27,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,
Pub suggested,14:16:27,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,3,3,
Pub suggested,14:16:27,10.1109/tvcg.2010.79,The Design Space of Implicit Hierarchy Visualization: a Survey,Schulz et al.,3,4,
Pub suggested,14:16:27,10.1109/iv.2009.22,TreemapBar: Visualizing Additional Dimensions of Data in Bar Chart,Huang et al.,3,5,
Pub suggested,14:16:27,10.1109/vissof.2002.1019798,The CONCEPT project – applying source code analysis to reduce information complexity of static and dynamic visualization techniques,Rilling et al.,3,6,
Pub suggested,14:16:27,10.1109/vl.1996.545307,The eyes have it: a task by data type taxonomy for information visualizations,Shneiderman,3,7,
Pub suggested,14:16:27,10.2196/40805,Visualization of Traditional Chinese Medicine Formulas: Development and Usability Study,Wu et al.,3,8,
Pub suggested,14:16:27,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,3,9,
Pub suggested,14:16:27,10.2196/preprints.40805,Visualization of Traditional Chinese Medicine Formulas: Development and Usability Study (Preprint),Wu et al.,3,10,
Pub suggested,14:16:27,10.3390/info11020123,Depicting More Information in Enriched Squarified Treemaps with Layered Glyphs,Soares et al.,3,11,
Pub suggested,14:16:27,10.1108/el-10-2019-0238,Forming a TED talks sphere for convenient search,Shih et al.,3,12,
Pub suggested,14:16:27,10.1109/tvcg.2019.2934535,BarcodeTree: Scalable Comparison of Multiple Hierarchies,Li et al.,3,13,
Pub suggested,14:16:27,10.1145/3430036.3430054,Survey on user studies on the effectiveness of treemaps,Fiedler et al.,3,14,
Pub suggested,14:16:27,10.1109/vissoft51673.2020.00017,Memory Cities: Visualizing Heap Memory Evolution Using the Software City Metaphor,Weninger et al.,3,15,
Pub suggested,14:16:27,10.1109/tvcg.2019.2934209,Selection Bias Tracking and Detailed Subset Comparison for High-Dimensional Data,Borland et al.,3,16,
Pub suggested,14:16:27,10.1109/snams.2018.8554961,Decision Tree Visualization for High-Dimensional Numerical Data,Szucs and Schmidt,3,17,
Pub suggested,14:16:27,10.1177/2378023118772982,Visualizing Hierarchical Social Networks,Gemici and Vashevko,3,18,
Pub suggested,14:16:27,10.1080/00207543.2017.1388931,Strategic eco-design map of the complex products: toward visualisation of the design for environment,Keivanpour and Ait Kadi,3,19,
Pub suggested,14:16:27,10.1007/978-3-319-53676-7_4,Explorative Analysis of Recommendations through Interactive Visualization,Richthammer and Pernul,3,20,
Pub suggested,14:16:27,10.1007/s12650-015-0329-3,Navigation in large hierarchical graph through chain-context views,Liang et al.,3,21,
Pub suggested,14:16:27,10.1007/978-1-4899-7993-3_1132-2,Treemaps,Fekete,3,22,
Pub suggested,14:16:27,10.1109/smartcity.2015.181,SpaceViz: Visualization Tool for the Computer Storage Big-Data,Thomas et al.,3,23,
Pub suggested,14:16:27,10.1109/pacificvis.2015.7156360,Variational circular treemaps for interactive visualization of hierarchical data,Haisen Zhao and Lu,3,24,
Pub suggested,14:16:27,10.1109/indin.2015.7281844,Simulation repository visualisation and exploration,Fish et al.,3,25,
Pub suggested,14:16:27,10.1109/tvcg.2014.2346276,Nmap: a Novel Neighborhood Preservation Space-filling Algorithm,Duarte et al.,3,26,
Pub suggested,14:16:27,10.1109/icis.2014.6912178,Geometry based visualization of hierarchical structures,Wang et al.,3,27,
Pub suggested,14:16:27,10.1109/tvcg.2013.231,Visualizing Change over Time Using Dynamic Hierarchies: TreeVersity2 and the StemView,Guerra-Gomez et al.,3,28,
Pub suggested,14:16:27,10.1109/tvcg.2013.91,GosperMap: Using a Gosper Curve for Laying Out Hierarchical Data,Auber et al.,3,29,
Pub suggested,14:16:27,10.1109/tvcg.2012.108,Enhanced Spatial Stability with Hilbert and Moore Treemaps,Tak and Cockburn,3,30,
Pub suggested,14:16:27,10.1109/icis.2012.73,Modified RELT for Display and Navigation of Large Hierarchy on Handheld Touch-Screen Devices,Chhetri and Kang Zhang,3,31,
Pub suggested,14:16:27,10.1109/tvcg.2012.250,Organizing Search Results with a Reference Map,Nocaj and Brandes,3,32,
Pub suggested,14:16:27,10.1007/s00180-011-0272-2,Linked treemap: a 3D treemap-nodelink layout for visualizing hierarchical structures,Linsen and Behrendt,3,33,
Pub suggested,14:16:27,10.4018/jitr.2011040101,Self-Organizing Tree Using Artificial Ants,Azzag and Lebbah,3,34,
Pub suggested,14:16:27,10.1007/978-3-642-24028-7_60,Visualizing Translation Variation: Shakespeare’s Othello,Geng et al.,3,35,
Pub suggested,14:16:27,10.1109/passat/socialcom.2011.139,Group-in-a-Box Layout for Multi-faceted Analysis of Communities,Rodrigues et al.,3,36,
Pub suggested,14:16:27,10.1109/icmla.2010.136,Map-TreeMaps: a New Approach for Hierarchical and Topological Clustering,Azzag et al.,3,37,
Pub suggested,14:16:27,10.1109/tvcg.2010.216,Visualization of Diversity in Large Multivariate Data Sets,Pham et al.,3,38,
Pub suggested,14:16:27,10.1109/isvd.2009.22,Visualizing Biodiversity with Voronoi Treemaps,Horn et al.,3,39,
Pub suggested,14:16:27,10.1057/palgrave.ivs.9500170,DataMeadow: a Visual Canvas for Analysis of Large-Scale Multivariate Data,Elmqvist et al.,3,40,
Pub suggested,14:16:27,10.1109/pacificvis.2008.4475472,Pixelplexing: Gaining Display Resolution through Time,Shearer et al.,3,41,
Pub suggested,14:16:27,10.1109/iv.2008.20,A Dual-View Visualization of In-Car Communication Processes,Sedlmair et al.,3,42,
Pub suggested,14:16:27,10.1109/iv.2008.41,Building the Mega-Collaboration Interface: Behavioral_ Cultural_ and Cognitive Factors in Visualization Support,Newlon et al.,3,43,
Pub suggested,14:16:27,10.1109/tsmcc.2007.906065,Information Visualization for DNA Microarray Data Analysis: a Critical Review,Leishi Zhang et al.,3,44,
Pub suggested,14:16:27,10.1109/pacificvis.2008.4475481,A Treemap Based Method for Rapid Layout of Large Graphs,Muelder and Ma,3,45,
Pub suggested,14:16:27,10.1109/pacificvis.2008.4475475,Interactive Visual Analysis of the NSF Funding Information,Liu et al.,3,46,
Pub suggested,14:16:27,10.1109/vast.2007.4389013,DataMeadow: a Visual Canvas for Analysis of Large-Scale Multivariate Data,Elmqvist et al.,3,47,
Pub suggested,14:16:27,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,3,48,
Pub suggested,14:16:27,10.1057/palgrave.ivs.9500072,Mapping Nominal Values to Numbers for Effective Visualization,Rosario et al.,3,49,
Pub suggested,14:16:27,10.4018/978-1-4666-3625-5.ch005,Self-Organizing Tree Using Artificial Ants,Azzag and Lebbah,3,50,
Pub activated,14:18:20,10.1145/102377.115768,Tree visualization with tree-maps:  2-d space-filling approach,Shneiderman,3,0,selected
Pub deactivated,14:18:24,10.1145/102377.115768,Tree visualization with tree-maps:  2-d space-filling approach,Shneiderman,3,0,
Pub activated,14:18:24,10.1109/visual.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,Johnson and Shneiderman,3,0,selected
Pub deactivated,14:18:31,10.1109/visual.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,Johnson and Shneiderman,3,0,
Pub activated,14:18:31,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,3,0,selected
Pub deactivated,14:18:41,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,3,0,
Pub activated,14:19:20,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,suggested
Clicked doi,14:19:50,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,suggested
Pub qd for selected,14:20:42,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,suggested
Pub deactivated,14:20:49,10.1109/infvis.2001.963283,Ordered treemap layouts,Shneiderman and Wattenberg,3,1,
Pub activated,14:20:49,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,suggested
Clicked doi,14:20:53,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,suggested
Pub qd for selected,14:21:22,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,suggested
Pub deactivated,14:21:35,10.1109/visual.1992.235217,Improving the visualization of hierarchies with treemaps: design issues and experimentation,Turo and Johnson,3,2,
Pub activated,14:21:35,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,3,3,suggested
Pub deactivated,14:22:16,10.1016/j.jvlc.2015.10.002,A mobile interface for navigating hierarchical information space,Chhetri et al.,3,3,
